round,match_number,home_team,away_team,predicted_result,home_win_probability,draw_probability,away_win_probability,winner
Round of 32,1,Switzerland,DR Congo,home_win,0.455,0.365,0.18,Switzerland
Round of 32,2,Brazil,Algeria,home_win,0.59,0.16,0.25,Brazil
Round of 32,3,Germany,Senegal,home_win,0.435,0.145,0.42,Germany
Round of 32,4,Belgium,Egypt,home_win,0.545,0.18,0.275,Belgium
Round of 32,5,Spain,Haiti,home_win,0.365,0.29,0.345,Spain
Round of 32,6,Argentina,Canada,home_win,0.66,0.185,0.155,Argentina
Round of 32,7,Portugal,Tunisia,home_win,0.47,0.37,0.16,Portugal
Round of 32,8,England,Sweden,home_win,0.3,0.46,0.24,England
Round of 32,9,Qatar,Paraguay,away_win,0.27,0.38,0.35,Paraguay
Round of 32,10,Morocco,United States,home_win,0.56,0.305,0.135,Morocco
Round of 32,11,Ivory Coast,Croatia,home_win,0.47,0.28,0.25,Ivory Coast
Round of 32,12,New Zealand,Uruguay,away_win,0.31,0.27,0.42,Uruguay
Round of 32,13,France,South Korea,home_win,0.49,0.37,0.14,France
Round of 32,14,Iraq,South Africa,home_win,0.5,0.27,0.23,Iraq
Round of 32,15,Jordan,Netherlands,away_win,0.205,0.115,0.68,Netherlands
Round of 32,16,Mexico,Australia,away_win,0.305,0.35,0.345,Australia
Round of 16,1,Switzerland,Australia,home_win,0.445,0.285,0.27,Switzerland
Round of 16,2,Brazil,Netherlands,away_win,0.325,0.325,0.35,Netherlands
Round of 16,3,Germany,Iraq,home_win,0.49,0.22,0.29,Germany
Round of 16,4,Belgium,France,away_win,0.335,0.165,0.5,France
Round of 16,5,Spain,Uruguay,home_win,0.485,0.25,0.265,Spain
Round of 16,6,Argentina,Ivory Coast,home_win,0.695,0.15,0.155,Argentina
Round of 16,7,Portugal,Morocco,home_win,0.69,0.175,0.135,Portugal
Round of 16,8,England,Paraguay,home_win,0.465,0.32,0.215,England
Quarter-finals,1,Switzerland,England,away_win,0.315,0.345,0.34,England
Quarter-finals,2,Netherlands,Portugal,home_win,0.445,0.385,0.17,Netherlands
Quarter-finals,3,Germany,Argentina,home_win,0.535,0.16,0.305,Germany
Quarter-finals,4,France,Spain,home_win,0.44,0.255,0.305,France
Semi-finals,1,England,France,home_win,0.365,0.315,0.32,England
Semi-finals,2,Netherlands,Germany,away_win,0.31,0.24,0.45,Germany
Final,1,England,Germany,away_win,0.32,0.25,0.43,Germany
